la_code,la_name,spend_resid_median,spend_resid_lag_median,combined_spend_resid_median,spend_resid_q89_lb,spend_resid_lag_q89_lb,combined_spend_resid_q89_lb,spend_resid_q89_ub,spend_resid_lag_q89_ub,combined_spend_resid_q89_ub
E06000001,Hartlepool,-0.003959178496298616,0.2309312100562017,0.2152933984847248,-0.2331887355461366,-0.08020209483551972,-0.15873852707480277,0.19533807520379598,0.6499564395447373,0.6728315959357779
E06000002,Middlesbrough,-0.041840371839925034,0.2689769211626807,0.21225095110036263,-0.29989678439837675,-0.03695764590790936,-0.18771948956383527,0.1366808071790194,0.6465275353743274,0.6271088020637945
E06000003,Redcar and Cleveland,0.022276354914645816,0.17662323668350327,0.21149772395371522,-0.17459708445784178,-0.11408873168562193,-0.10173822212534522,0.25543762094865763,0.5236722830041353,0.6193467859604392
E06000004,Stockton-on-Tees,-0.00867504126383857,-0.00425356140249834,-0.017994603772890222,-0.24903082995422118,-0.35846683374271915,-0.44216184100120937,0.2150590723781645,0.31849763525319225,0.3625711951426821
E06000005,Darlington,-0.02427383857015044,-0.12276071424334277,-0.16142695184982012,-0.28566918391937735,-0.5439982712257099,-0.6484103505295907,0.15425590018636154,0.1873976250075813,0.21486745523086123
E06000006,Halton,-0.0035402798375222064,-0.028003560400541087,-0.03940122058668703,-0.2043215429582564,-0.2866443927182007,-0.3663585389415995,0.17213533994834956,0.21793709155853686,0.2716392928592699
E06000007,Warrington,0.012176309878086395,0.08233803747743892,0.10387913218552322,-0.1670198949486014,-0.19481982302367454,-0.235735417963174,0.2243798238700873,0.40244497664401824,0.4999222491480444
E06000008,Blackburn with Darwen,0.014927571473766287,0.04295254952247218,0.06805728284805601,-0.17268883960634376,-0.2775728766621319,-0.3208309023543689,0.2399025794569616,0.39520349960075773,0.49195210277250534
E06000009,Blackpool,0.07001302270329181,-0.08165066520041162,0.008277905048534876,-0.12443411155969834,-0.41409142578429636,-0.4013249722176683,0.3687468825172844,0.23561016551889685,0.46779969129925286
E06000010,"Kingston upon Hull, City of",0.016516965064153347,0.046297214789839655,0.07844495978213403,-0.1692978117589602,-0.2620456689697028,-0.2940054095420486,0.2597230464367567,0.39822204423719315,0.5075980418004108
E06000011,East Riding of Yorkshire,-0.004809375152813473,-0.0017793527195504705,-0.009638085787543514,-0.24427333974936136,-0.34997035129640147,-0.4602391576716527,0.20457079049897905,0.3457543003724505,0.3970647193193539
E06000012,North East Lincolnshire,-0.011592077602937808,0.18836981633231478,0.1686849570962951,-0.2232083820342237,-0.03520351038828867,-0.15787048308747623,0.16714080252113744,0.428674119974433,0.5164826177600914
E06000013,North Lincolnshire,0.01929679206450178,-0.10482380476868494,-0.08453445353582514,-0.18402889322651542,-0.46735947269582007,-0.49819634122096396,0.2504354869090424,0.23376171656682346,0.32272379257247125
E06000014,York,0.02202308244912076,0.04105372254451975,0.06433157229001707,-0.16063018231369275,-0.29259016587239006,-0.3111286851892027,0.2581701929408438,0.3754818558316842,0.5096861509255981
E06000015,Derby,-4.8453771720113274e-4,-0.03914723485445777,-0.0455650091309784,-0.23407991963576677,-0.4142164759892217,-0.48452817117014085,0.2393382389330868,0.33428386357708745,0.3870481544712184
E06000016,Leicester,0.004914031613382842,0.007741118324449169,0.015424401078286937,-0.18517429712611042,-0.2968647817477863,-0.3308671843730044,0.23640956063406215,0.3774399699113102,0.4120958860191986
E06000017,Rutland,0.01591799263708773,-0.08378367387507907,-0.05226718926790078,-0.17230821230686055,-0.42761426887674464,-0.44996921026766906,0.26422938384495837,0.2047720024829916,0.3087666044873138
E06000018,Nottingham,0.0069042998182976675,0.006482990464901007,0.021410459096963704,-0.16069511393984495,-0.26656251533225256,-0.3210797279564205,0.20208647035997918,0.2874071230140541,0.37027934816692865
E06000019,"Herefordshire, County of",-0.009677660582799813,0.013156318485927904,-0.002058958202803513,-0.2114898537808839,-0.28809799887722953,-0.36844707532405807,0.18978491872255593,0.3169573436934936,0.36703486377249117
E06000020,Telford and Wrekin,0.008095596362106846,0.0732448627148535,0.0816228172006997,-0.2278799498286102,-0.25829382422692027,-0.2959150658218718,0.2296465950506229,0.44075896809284393,0.49904674668576343
E06000021,Stoke-on-Trent,-0.006072194277802652,-0.030311226371413015,-0.051604649276152784,-0.24932403005782536,-0.36850064428562973,-0.42726880211311846,0.20880096738183201,0.2763285513925849,0.33917925476063626
E06000022,Bath and North East Somerset,-0.00905578012235798,0.00203217783810701,-0.013157408030703007,-0.2512227023519839,-0.3156143943282592,-0.40625127454297183,0.1921122865358065,0.3419362020548507,0.38763872108139785
E06000023,"Bristol, City of",0.02157919600651506,-0.015889674999553516,0.01888009094712902,-0.16239806424521147,-0.33374614538214653,-0.3727023440241065,0.2695634277695432,0.32886495844704194,0.4279015477374575
E06000024,North Somerset,-0.007105785302240073,-0.006965160456687112,-0.022280997628975185,-0.23557785103357654,-0.3404045682607393,-0.4182741316119365,0.2069019867860589,0.3552951350655854,0.3949121660378207
E06000025,South Gloucestershire,0.005495779927102093,0.01234598508973689,0.019940245232366455,-0.2044483989170468,-0.3405120207401183,-0.3760385730550396,0.23318143134577093,0.36478857668124415,0.4278540448094812
E06000026,Plymouth,0.0359787096899082,-0.10452093201435933,-0.06453444090705976,-0.13899954242921098,-0.4550113875710061,-0.46841784752627785,0.2696295331596639,0.19125783829737725,0.315121925610836
E06000027,Torbay,0.014617922689376886,0.061132518409335555,0.07260842182214,-0.17181395317853024,-0.27508444241859265,-0.28634044019192384,0.2487962843416712,0.42384532485506665,0.5172562474966991
E06000030,Swindon,0.030086120941100476,0.17101943460433322,0.21748496266870637,-0.14548711752475668,-0.09829055938964851,-0.14110179978527965,0.28542370128585737,0.5161799695764577,0.6319804026334483
E06000031,Peterborough,0.03357643801123076,-0.04729909881907286,-0.004986106749706662,-0.1218593361371585,-0.2898861929895534,-0.2861731113688472,0.2293463868633772,0.16470832719758044,0.27426820063510865
